"Country","Year","Population","Cases_Lower","Cases_Point","Cases_Upper","Deaths_Lower","Deaths_Point","Deaths_Upper"
"Angola",2000,16394062,3499000,5336534,7782000,20400,22603,25200
"Angola",2001,16941588,3679000,5578347,8101000,21400,23778,26600
"Angola",2002,17516140,3687000,5510925,7830000,19700,21904,24700
"Angola",2003,18124342,4045000,5779815,7971000,19600,22056,24900
"Angola",2004,18771124,4248000,5867414,7951000,18900,21414,24300
"Angola",2005,19450960,4554000,6103720,8041000,18200,20837,24000
"Angola",2006,20162340,4693000,6054129,7739000,16700,19321,22500
"Angola",2007,20909684,4380000,5676002,7311000,15100,17746,21000
"Angola",2008,21691522,3723000,4991725,6495000,12700,15116,18100
"Angola",2009,22507674,3291000,4379758,5708000,11000,13210,16100
"Angola",2010,23364184,3023000,3993149,5149000,10000,12210,15100
"Angola",2011,24259112,2888000,3816080,4964000,9330,11563,14500
"Angola",2012,25188292,2909000,3854300,4977000,8860,11170,14300
"Angola",2013,26147002,3093000,4129761,5456000,8740,11224,14700
"Angola",2014,27128336,3337000,4441138,5760000,8880,11621,15500
"Angola",2015,28127720,3818000,4903630,6199000,9070,12105,16500
"Angola",2016,29154746,4320000,5542649,6988000,9400,12764,17700
"Angola",2017,30208628,4935000,6511993,8386000,9900,13843,19800
"Angola",2018,31273532,4979000,7253371,10210000,10300,14724,21500
"Angola",2019,32353588,4774000,7843380,12230000,10700,15569,23200
"Angola",2020,33428486,4685000,8157016,13370000,11100,16361,25500
"Angola",2021,34503776,4930000,8497578,13670000,12400,19409,31800
"Angola",2022,35588988,4871000,8396314,13510000,12300,19203,31900
"Botswana",2000,1144956,13000,19146,31000,NA,36,NA
"Botswana",2001,1168124,4700,7698,14000,NA,29,NA
"Botswana",2002,1190135,2000,3663,7100,NA,23,NA
"Botswana",2003,1211173,740,1862,4700,NA,18,NA
"Botswana",2004,1232536,250,1217,3800,NA,19,NA
"Botswana",2005,1254893,850,1466,3000,NA,11,NA
"Botswana",2006,1278692,3200,4801,7800,NA,40,NA
"Botswana",2007,1304066,490,1292,3200,NA,6,NA
"Botswana",2008,1330813,1200,2457,4900,NA,12,NA
"Botswana",2009,1358444,1300,2719,5100,NA,6,NA
"Botswana",2010,1386731,1300,2229,3900,NA,8,NA
"Botswana",2011,1414823,520,682,940,NA,8,NA
"Botswana",2012,1442263,230,304,420,NA,3,NA
"Botswana",2013,1470010,560,725,1000,NA,7,NA
"Botswana",2014,1498584,1600,2075,2800,NA,22,NA
"Botswana",2015,1528282,350,455,620,NA,5,NA
"Botswana",2016,1559604,760,984,1300,NA,3,NA
"Botswana",2017,1592371,2300,2929,4000,NA,17,NA
"Botswana",2018,1625235,620,806,1100,NA,9,NA
"Botswana",2019,1657252,200,258,360,NA,7,NA
"Botswana",2020,1688213,1200,1764,2700,NA,11,NA
"Botswana",2021,1716072,820,1060,1500,NA,5,NA
"Botswana",2022,1743833,420,542,740,NA,6,NA
"Eswatini",2000,288538,340,787,1400,NA,83,NA
"Eswatini",2001,291590,NA,1395,NA,NA,62,NA
"Eswatini",2002,294226,NA,670,NA,NA,46,NA
"Eswatini",2003,296463,NA,342,NA,NA,30,NA
"Eswatini",2004,298413,NA,574,NA,NA,28,NA
"Eswatini",2005,300128,NA,279,NA,NA,17,NA
"Eswatini",2006,301765,NA,155,NA,NA,27,NA
"Eswatini",2007,303522,NA,84,NA,NA,17,NA
"Eswatini",2008,305163,NA,58,NA,NA,10,NA
"Eswatini",2009,306568,NA,106,NA,NA,13,NA
"Eswatini",2010,307977,NA,268,NA,NA,8,NA
"Eswatini",2011,309503,NA,379,NA,NA,1,NA
"Eswatini",2012,311204,NA,409,NA,NA,3,NA
"Eswatini",2013,313129,NA,728,NA,NA,4,NA
"Eswatini",2014,315242,NA,389,NA,NA,4,NA
"Eswatini",2015,317502,NA,318,NA,NA,5,NA
"Eswatini",2016,319906,NA,250,NA,NA,3,NA
"Eswatini",2017,322389,NA,440,NA,NA,20,NA
"Eswatini",2018,324919,NA,686,NA,NA,2,NA
"Eswatini",2019,327491,NA,252,NA,NA,3,NA
"Eswatini",2020,330583,NA,233,NA,NA,2,NA
"Eswatini",2021,333835,NA,505,NA,NA,5,NA
"Eswatini",2022,336467,NA,214,NA,NA,4,NA
"Malawi",2000,11229387,3985000,5068222,6336000,18100,18949,19900
"Malawi",2001,11498818,4274000,5289453,6504000,17400,18217,19100
"Malawi",2002,11784498,4086000,5157186,6371000,15700,16478,17300
"Malawi",2003,12087965,3777000,4851733,6108000,13200,13846,14500
"Malawi",2004,12411342,3631000,4633730,5816000,11300,11860,12500
"Malawi",2005,12755648,3728000,4716725,5875000,11200,11719,12300
"Malawi",2006,13118307,3709000,4638347,5718000,10700,11240,11800
"Malawi",2007,13495463,3765000,4731580,5843000,10500,10988,11500
"Malawi",2008,13889423,4113000,5115871,6313000,10700,11275,11900
"Malawi",2009,14298932,4398000,5457399,6648000,10800,11432,12100
"Malawi",2010,14718422,4539000,5615374,6873000,10600,11147,11800
"Malawi",2011,15146094,4460000,5570026,6906000,9720,10237,10800
"Malawi",2012,15581251,3896000,5053353,6421000,8850,9308,9820
"Malawi",2013,16024775,3566000,4685666,6075000,7910,8334,8800
"Malawi",2014,16477966,3306000,4353265,5658000,7260,7700,8170
"Malawi",2015,16938942,3115000,4106623,5354000,6820,7302,7830
"Malawi",2016,17405624,2975000,3949459,5105000,6510,7054,7690
"Malawi",2017,17881168,2961000,3911675,5053000,6360,6983,7770
"Malawi",2018,18367884,2893000,3859499,5054000,6200,6873,7790
"Malawi",2019,18867336,2661000,3867128,5358000,6120,6844,7900
"Malawi",2020,19377060,2503000,4252631,6787000,6270,7390,9250
"Malawi",2021,19889742,2557000,4359158,6888000,6300,7430,9360
"Malawi",2022,20405316,2669000,4472154,7037000,6290,7480,9620
"Mozambique",2000,17768504,6814000,8491620,10450000,39300,42192,45300
"Mozambique",2001,18220716,7300000,8963360,10910000,39200,42162,45500
"Mozambique",2002,18694946,7593000,9260605,11210000,37300,40239,43400
"Mozambique",2003,19186754,7573000,9233696,11090000,34000,36703,39600
"Mozambique",2004,19694412,7278000,8944746,10910000,30100,32517,35100
"Mozambique",2005,20211114,6947000,8604836,10570000,26300,28467,30800
"Mozambique",2006,20735982,6866000,8466830,10320000,25100,27162,29300
"Mozambique",2007,21280512,6724000,8240646,9940000,23000,24864,26800
"Mozambique",2008,21845572,6687000,8173405,9918000,21700,23408,25300
"Mozambique",2009,22436660,6773000,8319939,10110000,21900,23681,25700
"Mozambique",2010,23073724,6996000,8621319,10480000,21900,23929,26100
"Mozambique",2011,23760420,7162000,8807492,10670000,21300,23588,26000
"Mozambique",2012,24487612,7446000,9070323,10980000,20800,23481,26600
"Mozambique",2013,25251732,7579000,9316822,11340000,20800,24005,28000
"Mozambique",2014,26038704,7605000,9322960,11310000,19900,23473,28200
"Mozambique",2015,26843246,7665000,9389988,11430000,18300,22210,27500
"Mozambique",2016,27696492,7640000,9409618,11520000,17200,21349,27300
"Mozambique",2017,28569440,7498000,9395822,11560000,15900,20199,26700
"Mozambique",2018,29423878,7507000,9471126,11740000,14900,19387,26400
"Mozambique",2019,30285596,7319000,9395404,11940000,13900,18473,25900
"Mozambique",2020,31178240,7572000,9817892,12440000,14000,22785,38900
"Mozambique",2021,32077072,7674000,10132564,13190000,13500,21660,36700
"Mozambique",2022,32969518,7900000,10442873,13480000,13200,21551,37400
"Namibia",2000,1443943,31000,77408,155000,NA,1985,NA
"Namibia",2001,1473519,55000,102902,183000,NA,1728,NA
"Namibia",2002,1499016,33000,70395,137000,NA,1504,NA
"Namibia",2003,1520368,29000,67564,138000,NA,1106,NA
"Namibia",2004,1539403,51000,105493,202000,NA,1185,NA
"Namibia",2005,1558024,34000,65303,119000,NA,1325,NA
"Namibia",2006,1576830,40000,68176,113000,NA,571,NA
"Namibia",2007,1596621,6300,20663,48000,NA,181,NA
"Namibia",2008,1618100,1600,12094,33000,NA,152,NA
"Namibia",2009,1641410,800,6068,18000,NA,68,NA
"Namibia",2010,1666296,800,2590,6200,NA,63,NA
"Namibia",2011,1692544,2100,3092,4700,NA,36,NA
"Namibia",2012,1720429,2200,5465,9400,NA,4,NA
"Namibia",2013,1749829,6200,7844,9600,NA,21,NA
"Namibia",2014,1780382,20000,25780,32000,NA,61,NA
"Namibia",2015,1811896,12000,15052,18000,NA,32,NA
"Namibia",2016,1844160,25000,32052,39000,NA,65,NA
"Namibia",2017,1876848,71000,89155,109000,NA,57,NA
"Namibia",2018,1909508,40000,50217,62000,NA,58,NA
"Namibia",2019,1942023,4100,5705,8200,NA,6,NA
"Namibia",2020,1975721,16000,20192,25000,NA,35,NA
"Namibia",2021,2008307,17000,21322,26000,NA,14,NA
"Namibia",2022,2037565,13000,16892,21000,NA,28,NA
"South Africa",2000,4681326,13000,18206,26000,NA,424,NA
"South Africa",2001,4722971,NA,26506,NA,NA,81,NA
"South Africa",2002,4766151,NA,15649,NA,NA,96,NA
"South Africa",2003,4810404,NA,13459,NA,NA,142,NA
"South Africa",2004,4855607,NA,13399,NA,NA,88,NA
"South Africa",2005,4901714,NA,7755,NA,NA,63,NA
"South Africa",2006,4949175,NA,12098,NA,NA,87,NA
"South Africa",2007,4999609,NA,6327,NA,NA,37,NA
"South Africa",2008,5056581,NA,7796,NA,NA,43,NA
"South Africa",2009,5117078,NA,6072,NA,NA,45,NA
"South Africa",2010,5178492,NA,8060,NA,NA,83,NA
"South Africa",2011,5244332,NA,9866,NA,NA,54,NA
"South Africa",2012,5314503,NA,6621,NA,NA,72,NA
"South Africa",2013,5387361,NA,8645,NA,NA,105,NA
"South Africa",2014,5472955,NA,11705,NA,NA,174,NA
"South Africa",2015,5587650,NA,4959,NA,NA,110,NA
"South Africa",2016,5642227,NA,4323,NA,NA,34,NA
"South Africa",2017,5664120,NA,23381,NA,NA,301,NA
"South Africa",2018,5733963,NA,9562,NA,NA,69,NA
"South Africa",2019,5808705,NA,4821,NA,NA,79,NA
"South Africa",2020,5880192,NA,4463,NA,NA,38,NA
"South Africa",2021,5939225,NA,2972,NA,NA,56,NA
"South Africa",2022,5989388,NA,2043,NA,NA,29,NA
"Zambia",2000,9891136,2743000,3584235,4612000,13800,14569,15400
"Zambia",2001,10191964,2970000,3872741,4932000,13700,14407,15200
"Zambia",2002,10508294,2973000,3847799,4920000,11600,12129,12700
"Zambia",2003,10837973,2883000,3729154,4743000,9720,10173,10700
"Zambia",2004,11188040,2574000,3325565,4221000,8240,8611,9010
"Zambia",2005,11564870,2303000,2983418,3812000,7160,7470,7780
"Zambia",2006,11971567,2067000,2654141,3374000,6510,6767,7030
"Zambia",2007,12402073,1845000,2372049,3000000,6140,6363,6590
"Zambia",2008,12852966,1683000,2171129,2740000,6040,6243,6460
"Zambia",2009,13318087,1725000,2181076,2758000,6060,6263,6480
"Zambia",2010,13792086,1787000,2286710,2881000,6120,6321,6550
"Zambia",2011,14265814,1977000,2516794,3156000,6410,6636,6890
"Zambia",2012,14744658,2273000,2901484,3643000,6700,6952,7240
"Zambia",2013,15234976,2650000,3409857,4314000,7130,7440,7780
"Zambia",2014,15737793,2838000,3599263,4490000,7640,8020,8440
"Zambia",2015,16248230,2774000,3490791,4337000,7600,7992,8450
"Zambia",2016,16767761,2627000,3365391,4216000,7480,7913,8420
"Zambia",2017,17298054,2457000,3207487,4126000,7390,7880,8470
"Zambia",2018,17835892,2397000,3272015,4408000,7440,8032,8760
"Zambia",2019,18380476,2273000,3292645,4621000,7400,8073,8940
"Zambia",2020,18927716,2224000,3345904,4862000,7360,8553,10300
"Zambia",2021,19473124,2305000,3492503,5138000,7510,8742,10600
"Zambia",2022,20017676,2380000,3611400,5269000,7510,8820,10900
"Zimbabwe",2000,9318943,240000,987103,2453000,470,2526,7290
"Zimbabwe",2001,9379025,226000,993468,2460000,460,2543,7440
"Zimbabwe",2002,9437032,226000,999612,2445000,480,2559,7450
"Zimbabwe",2003,9508833,232000,1007217,2517000,450,2578,7300
"Zimbabwe",2004,9575806,217000,1014311,2486000,490,2596,7540
"Zimbabwe",2005,9626100,228000,1019639,2515000,490,2610,7500
"Zimbabwe",2006,9709360,236000,1028458,2582000,470,2632,7450
