time,PRCPTOT,stn,lon,lat
1901-01-16,184.6,8.0,28.75,-20.25
1901-02-15,119.9,8.0,28.75,-20.25
1901-03-16,103.4,8.0,28.75,-20.25
1901-04-16,17.5,8.0,28.75,-20.25
1901-05-16,0.5,8.0,28.75,-20.25
1901-06-16,2.5,8.0,28.75,-20.25
1901-07-16,0.1,8.0,28.75,-20.25
1901-08-16,1.0,8.0,28.75,-20.25
1901-09-16,10.0,8.0,28.75,-20.25
1901-10-16,27.7,8.0,28.75,-20.25
1901-11-16,96.4,8.0,28.75,-20.25
1901-12-16,225.40001,8.0,28.75,-20.25
1902-01-16,171.2,8.0,28.75,-20.25
1902-02-15,75.700005,8.0,28.75,-20.25
1902-03-16,80.0,8.0,28.75,-20.25
1902-04-16,35.7,8.0,28.75,-20.25
1902-05-16,0.1,8.0,28.75,-20.25
1902-06-16,0.0,8.0,28.75,-20.25
1902-07-16,0.0,8.0,28.75,-20.25
1902-08-16,0.0,8.0,28.75,-20.25
1902-09-16,11.8,8.0,28.75,-20.25
1902-10-16,40.3,8.0,28.75,-20.25
1902-11-16,135.1,8.0,28.75,-20.25
1902-12-16,38.3,8.0,28.75,-20.25
1903-01-16,166.40001,8.0,28.75,-20.25
1903-02-15,25.4,8.0,28.75,-20.25
1903-03-16,52.7,8.0,28.75,-20.25
1903-04-16,19.800001,8.0,28.75,-20.25
1903-05-16,16.5,8.0,28.75,-20.25
1903-06-16,0.0,8.0,28.75,-20.25
1903-07-16,0.0,8.0,28.75,-20.25
1903-08-16,0.1,8.0,28.75,-20.25
1903-09-16,0.3,8.0,28.75,-20.25
1903-10-16,32.600002,8.0,28.75,-20.25
1903-11-16,129.7,8.0,28.75,-20.25
1903-12-16,89.4,8.0,28.75,-20.25
1904-01-16,198.8,8.0,28.75,-20.25
1904-02-15,41.2,8.0,28.75,-20.25
1904-03-16,113.1,8.0,28.75,-20.25
1904-04-16,9.900001,8.0,28.75,-20.25
1904-05-16,8.3,8.0,28.75,-20.25
1904-06-16,0.3,8.0,28.75,-20.25
1904-07-16,0.3,8.0,28.75,-20.25
1904-08-16,0.0,8.0,28.75,-20.25
1904-09-16,0.0,8.0,28.75,-20.25
1904-10-16,66.1,8.0,28.75,-20.25
1904-11-16,82.9,8.0,28.75,-20.25
1904-12-16,107.5,8.0,28.75,-20.25
1905-01-16,66.8,8.0,28.75,-20.25
1905-02-15,159.5,8.0,28.75,-20.25
1905-03-16,58.2,8.0,28.75,-20.25
1905-04-16,2.9,8.0,28.75,-20.25
1905-05-16,8.900001,8.0,28.75,-20.25
1905-06-16,0.0,8.0,28.75,-20.25
1905-07-16,1.3000001,8.0,28.75,-20.25
1905-08-16,0.0,8.0,28.75,-20.25
1905-09-16,0.4,8.0,28.75,-20.25
1905-10-16,1.0,8.0,28.75,-20.25
1905-11-16,23.300001,8.0,28.75,-20.25
1905-12-16,116.4,8.0,28.75,-20.25
1906-01-16,150.2,8.0,28.75,-20.25
1906-02-15,181.7,8.0,28.75,-20.25
1906-03-16,53.5,8.0,28.75,-20.25
1906-04-16,7.7000003,8.0,28.75,-20.25
1906-05-16,1.3000001,8.0,28.75,-20.25
1906-06-16,0.3,8.0,28.75,-20.25
1906-07-16,0.2,8.0,28.75,-20.25
1906-08-16,0.3,8.0,28.75,-20.25
1906-09-16,2.0,8.0,28.75,-20.25
1906-10-16,69.4,8.0,28.75,-20.25
1906-11-16,78.9,8.0,28.75,-20.25
1906-12-16,101.6,8.0,28.75,-20.25
1907-01-16,134.6,8.0,28.75,-20.25
1907-02-15,204.90001,8.0,28.75,-20.25
1907-03-16,21.800001,8.0,28.75,-20.25
1907-04-16,50.7,8.0,28.75,-20.25
1907-05-16,5.9,8.0,28.75,-20.25
1907-06-16,1.6,8.0,28.75,-20.25
1907-07-16,3.7,8.0,28.75,-20.25
1907-08-16,2.3,8.0,28.75,-20.25
1907-09-16,3.1000001,8.0,28.75,-20.25
1907-10-16,38.3,8.0,28.75,-20.25
1907-11-16,140.5,8.0,28.75,-20.25
1907-12-16,130.0,8.0,28.75,-20.25
1908-01-16,108.1,8.0,28.75,-20.25
1908-02-15,95.200005,8.0,28.75,-20.25
1908-03-16,45.3,8.0,28.75,-20.25
1908-04-16,12.5,8.0,28.75,-20.25
1908-05-16,4.3,8.0,28.75,-20.25
1908-06-16,0.0,8.0,28.75,-20.25
1908-07-16,0.0,8.0,28.75,-20.25
1908-08-16,0.0,8.0,28.75,-20.25
1908-09-16,0.0,8.0,28.75,-20.25
1908-10-16,20.6,8.0,28.75,-20.25
1908-11-16,119.4,8.0,28.75,-20.25
1908-12-16,104.200005,8.0,28.75,-20.25
1909-01-16,247.2,8.0,28.75,-20.25
1909-02-15,95.4,8.0,28.75,-20.25
1909-03-16,88.700005,8.0,28.75,-20.25
1909-04-16,7.6,8.0,28.75,-20.25
1909-05-16,5.3,8.0,28.75,-20.25
1909-06-16,0.5,8.0,28.75,-20.25
1909-07-16,1.7,8.0,28.75,-20.25
1909-08-16,0.0,8.0,28.75,-20.25
1909-09-16,2.5,8.0,28.75,-20.25
1909-10-16,21.0,8.0,28.75,-20.25
1909-11-16,40.8,8.0,28.75,-20.25
1909-12-16,171.2,8.0,28.75,-20.25
1910-01-16,63.7,8.0,28.75,-20.25
1910-02-15,137.40001,8.0,28.75,-20.25
1910-03-16,157.7,8.0,28.75,-20.25
1910-04-16,8.1,8.0,28.75,-20.25
1910-05-16,1.3000001,8.0,28.75,-20.25
1910-06-16,0.3,8.0,28.75,-20.25
1910-07-16,4.8,8.0,28.75,-20.25
1910-08-16,1.6,8.0,28.75,-20.25
1910-09-16,0.0,8.0,28.75,-20.25
1910-10-16,66.1,8.0,28.75,-20.25
1910-11-16,97.3,8.0,28.75,-20.25
1910-12-16,93.0,8.0,28.75,-20.25
1911-01-16,199.6,8.0,28.75,-20.25
1911-02-15,140.40001,8.0,28.75,-20.25
1911-03-16,49.3,8.0,28.75,-20.25
1911-04-16,15.8,8.0,28.75,-20.25
1911-05-16,29.6,8.0,28.75,-20.25
1911-06-16,2.4,8.0,28.75,-20.25
1911-07-16,0.0,8.0,28.75,-20.25
1911-08-16,0.1,8.0,28.75,-20.25
1911-09-16,0.2,8.0,28.75,-20.25
1911-10-16,29.9,8.0,28.75,-20.25
1911-11-16,40.8,8.0,28.75,-20.25
1911-12-16,81.3,8.0,28.75,-20.25
1912-01-16,120.9,8.0,28.75,-20.25
1912-02-15,39.3,8.0,28.75,-20.25
1912-03-16,28.6,8.0,28.75,-20.25
1912-04-16,19.7,8.0,28.75,-20.25
1912-05-16,13.3,8.0,28.75,-20.25
1912-06-16,1.1,8.0,28.75,-20.25
1912-07-16,0.6,8.0,28.75,-20.25
1912-08-16,0.0,8.0,28.75,-20.25
1912-09-16,0.7,8.0,28.75,-20.25
1912-10-16,3.7,8.0,28.75,-20.25
1912-11-16,13.0,8.0,28.75,-20.25
1912-12-16,65.0,8.0,28.75,-20.25
1913-01-16,43.3,8.0,28.75,-20.25
1913-02-15,190.90001,8.0,28.75,-20.25
1913-03-16,32.0,8.0,28.75,-20.25
1913-04-16,76.9,8.0,28.75,-20.25
1913-05-16,14.0,8.0,28.75,-20.25
1913-06-16,0.0,8.0,28.75,-20.25
1913-07-16,0.0,8.0,28.75,-20.25
1913-08-16,0.5,8.0,28.75,-20.25
1913-09-16,5.2000003,8.0,28.75,-20.25
1913-10-16,26.800001,8.0,28.75,-20.25
1913-11-16,60.100002,8.0,28.75,-20.25
1913-12-16,37.0,8.0,28.75,-20.25
1914-01-16,89.200005,8.0,28.75,-20.25
1914-02-15,161.2,8.0,28.75,-20.25
1914-03-16,10.2,8.0,28.75,-20.25
1914-04-16,13.7,8.0,28.75,-20.25
1914-05-16,10.1,8.0,28.75,-20.25
1914-06-16,0.0,8.0,28.75,-20.25
1914-07-16,1.4,8.0,28.75,-20.25
1914-08-16,1.4,8.0,28.75,-20.25
1914-09-16,0.0,8.0,28.75,-20.25
1914-10-16,0.1,8.0,28.75,-20.25
1914-11-16,83.700005,8.0,28.75,-20.25
1914-12-16,321.80002,8.0,28.75,-20.25
1915-01-16,268.6,8.0,28.75,-20.25
1915-02-15,113.9,8.0,28.75,-20.25
1915-03-16,69.200005,8.0,28.75,-20.25
1915-04-16,13.900001,8.0,28.75,-20.25
1915-05-16,12.0,8.0,28.75,-20.25
1915-06-16,0.4,8.0,28.75,-20.25
1915-07-16,2.3,8.0,28.75,-20.25
1915-08-16,0.1,8.0,28.75,-20.25
1915-09-16,8.7,8.0,28.75,-20.25
1915-10-16,29.1,8.0,28.75,-20.25
1915-11-16,73.8,8.0,28.75,-20.25
1915-12-16,55.2,8.0,28.75,-20.25
1916-01-16,87.4,8.0,28.75,-20.25
1916-02-15,42.5,8.0,28.75,-20.25
1916-03-16,50.5,8.0,28.75,-20.25
1916-04-16,12.5,8.0,28.75,-20.25
1916-05-16,0.3,8.0,28.75,-20.25
1916-06-16,0.0,8.0,28.75,-20.25
1916-07-16,0.0,8.0,28.75,-20.25
1916-08-16,0.3,8.0,28.75,-20.25
1916-09-16,5.6,8.0,28.75,-20.25
1916-10-16,2.0,8.0,28.75,-20.25
1916-11-16,76.1,8.0,28.75,-20.25
1916-12-16,202.6,8.0,28.75,-20.25
1917-01-16,73.200005,8.0,28.75,-20.25
1917-02-15,58.2,8.0,28.75,-20.25
1917-03-16,36.8,8.0,28.75,-20.25
1917-04-16,27.4,8.0,28.75,-20.25
1917-05-16,24.1,8.0,28.75,-20.25
1917-06-16,0.90000004,8.0,28.75,-20.25
1917-07-16,0.0,8.0,28.75,-20.25
1917-08-16,0.4,8.0,28.75,-20.25
