time,longitude,latitude,pr
1959-01-01,31.5,-25.0,9.732258
1959-01-02,31.5,-25.0,7.1359677
1959-01-03,31.5,-25.0,0.018391669
1959-01-04,31.5,-25.0,-1.6653347e-13
1959-01-05,31.5,-25.0,1.8184762
1959-01-06,31.5,-25.0,9.09583
1959-01-07,31.5,-25.0,9.554472
1959-01-08,31.5,-25.0,0.23219481
1959-01-09,31.5,-25.0,0.42300838
1959-01-10,31.5,-25.0,1.1046497
1959-01-11,31.5,-25.0,0.020690626
1959-01-12,31.5,-25.0,15.698439
1959-01-13,31.5,-25.0,0.03448438
1959-01-14,31.5,-25.0,0.07931407
1959-01-15,31.5,-25.0,0.025288545
1959-01-16,31.5,-25.0,-1.6653347e-13
1959-01-17,31.5,-25.0,1.2356904
1959-01-18,31.5,-25.0,0.003448438
1959-01-19,31.5,-25.0,0.012644272
1959-01-20,31.5,-25.0,7.3371263
1959-01-21,31.5,-25.0,0.44484848
1959-01-22,31.5,-25.0,0.01724219
1959-01-23,31.5,-25.0,1.3184527
1959-01-24,31.5,-25.0,4.508258
1959-01-25,31.5,-25.0,0.3494417
1959-01-26,31.5,-25.0,0.99889755
1959-01-27,31.5,-25.0,0.011494794
1959-01-28,31.5,-25.0,-1.6653347e-13
1959-01-29,31.5,-25.0,10.689007
1959-01-30,31.5,-25.0,0.022989586
1959-01-31,31.5,-25.0,0.004597917
1959-02-01,31.5,-25.0,1.2534208
1959-02-02,31.5,-25.0,3.8363366
1959-02-03,31.5,-25.0,1.0107062
1959-02-04,31.5,-25.0,2.4443517
1959-02-05,31.5,-25.0,0.013584763
1959-02-06,31.5,-25.0,8.3266734e-14
1959-02-07,31.5,-25.0,3.0266852
1959-02-08,31.5,-25.0,0.3459586
1959-02-09,31.5,-25.0,8.457872
1959-02-10,31.5,-25.0,0.041659933
1959-02-11,31.5,-25.0,0.102338545
1959-02-12,31.5,-25.0,0.7661805
1959-02-13,31.5,-25.0,0.0072452067
1959-02-14,31.5,-25.0,0.013584763
1959-02-15,31.5,-25.0,1.1211958
1959-02-16,31.5,-25.0,0.7145585
1959-02-17,31.5,-25.0,18.723425
1959-02-18,31.5,-25.0,16.934765
1959-02-19,31.5,-25.0,0.61674815
1959-02-20,31.5,-25.0,20.95223
1959-02-21,31.5,-25.0,3.6706023
1959-02-22,31.5,-25.0,8.3266734e-14
1959-02-23,31.5,-25.0,0.0027169525
1959-02-24,31.5,-25.0,8.3266734e-14
1959-02-25,31.5,-25.0,8.3266734e-14
1959-02-26,31.5,-25.0,8.3266734e-14
1959-02-27,31.5,-25.0,8.3266734e-14
1959-02-28,31.5,-25.0,7.979728e-14
1959-03-01,31.5,-25.0,0.82957554
1959-03-02,31.5,-25.0,0.7132
1959-03-03,31.5,-25.0,0.0
1959-03-04,31.5,-25.0,0.0
1959-03-05,31.5,-25.0,1.3804903
1959-03-06,31.5,-25.0,0.4953964
1959-03-07,31.5,-25.0,0.4772461
1959-03-08,31.5,-25.0,0.099292815
1959-03-09,31.5,-25.0,5.6159163
1959-03-10,31.5,-25.0,0.44948682
1959-03-11,31.5,-25.0,0.0074736527
1959-03-12,31.5,-25.0,11.624733
1959-03-13,31.5,-25.0,0.066195205
1959-03-14,31.5,-25.0,0.6576814
1959-03-15,31.5,-25.0,0.0
1959-03-16,31.5,-25.0,0.16655569
1959-03-17,31.5,-25.0,0.10463114
1959-03-18,31.5,-25.0,5.529435
1959-03-19,31.5,-25.0,0.14199941
1959-03-20,31.5,-25.0,0.024556288
1959-03-21,31.5,-25.0,0.0
1959-03-22,31.5,-25.0,0.0
1959-03-23,31.5,-25.0,0.0
1959-03-24,31.5,-25.0,0.022420958
1959-03-25,31.5,-25.0,0.030962275
1959-03-26,31.5,-25.0,1.111439
1959-03-27,31.5,-25.0,0.56799763
1959-03-28,31.5,-25.0,0.0053383233
1959-03-29,31.5,-25.0,0.0
1959-03-30,31.5,-25.0,0.0
1959-03-31,31.5,-25.0,0.08046206
1959-04-01,31.5,-25.0,0.26259997
1959-04-02,31.5,-25.0,0.011043925
1959-04-03,31.5,-25.0,0.0
1959-04-04,31.5,-25.0,0.0
1959-04-05,31.5,-25.0,0.34113455
1959-04-06,31.5,-25.0,0.057673827
1959-04-07,31.5,-25.0,0.0073626162
1959-04-08,31.5,-25.0,0.0441757
1959-04-09,31.5,-25.0,0.28959626
1959-04-10,31.5,-25.0,0.076080374
1959-04-11,31.5,-25.0,0.68226916
1959-04-12,31.5,-25.0,0.015952334
1959-04-13,31.5,-25.0,1.0209495
1959-04-14,31.5,-25.0,0.42335045
1959-04-15,31.5,-25.0,0.49084112
1959-04-16,31.5,-25.0,0.9988617
1959-04-17,31.5,-25.0,1.6222298
1959-04-18,31.5,-25.0,0.09571402
1959-04-19,31.5,-25.0,0.0
1959-04-20,31.5,-25.0,0.0
1959-04-21,31.5,-25.0,0.0
1959-04-22,31.5,-25.0,0.28223363
1959-04-23,31.5,-25.0,0.07730747
1959-04-24,31.5,-25.0,0.0
1959-04-25,31.5,-25.0,0.038040187
1959-04-26,31.5,-25.0,0.11902897
1959-04-27,31.5,-25.0,0.03067757
1959-04-28,31.5,-25.0,0.0
1959-04-29,31.5,-25.0,4.486288
1959-04-30,31.5,-25.0,0.05031121
1959-05-01,31.5,-25.0,0.0
1959-05-02,31.5,-25.0,0.0
1959-05-03,31.5,-25.0,0.29530463
1959-05-04,31.5,-25.0,6.8674035
1959-05-05,31.5,-25.0,0.0
1959-05-06,31.5,-25.0,0.0
1959-05-07,31.5,-25.0,0.0
1959-05-08,31.5,-25.0,0.0
1959-05-09,31.5,-25.0,0.0
1959-05-10,31.5,-25.0,0.0037698462
1959-05-11,31.5,-25.0,0.0
1959-05-12,31.5,-25.0,5.5127716
1959-05-13,31.5,-25.0,0.5001329
1959-05-14,31.5,-25.0,0.0
1959-05-15,31.5,-25.0,0.06911385
1959-05-16,31.5,-25.0,0.06157416
1959-05-17,31.5,-25.0,0.16712986
1959-05-18,31.5,-25.0,1.2365096
1959-05-19,31.5,-25.0,0.072883695
1959-05-20,31.5,-25.0,0.0
1959-05-21,31.5,-25.0,0.0
1959-05-22,31.5,-25.0,0.0
1959-05-23,31.5,-25.0,0.0
1959-05-24,31.5,-25.0,0.0
