"ISO3","Name","Admin Level","Metric","Units","Year","Value"
"ZMB","Zambia","admin0","Coverage","in 100 households",2013,4.42248535788178
"ZMB","Zambia","admin0","Coverage","in 100 households",2014,19.1939019648771
"ZMB","Zambia","admin0","Coverage","in 100 households",2015,22.8900241005482
"ZMB","Zambia","admin0","Coverage","in 100 households",2016,24.6081385214245
"ZMB","Zambia","admin0","Coverage","in 100 households",2017,26.5480274995898
"ZMB","Zambia","admin0","Coverage","in 100 households",2018,9.30377706523409
"ZMB","Zambia","admin0","Coverage","in 100 households",2019,28.822264242216
"ZMB","Zambia","admin0","Coverage","in 100 households",2020,23.3108443300258
"ZMB","Zambia","admin0","Coverage","in 100 households",2021,31.473278960623603
"ZMB","Zambia","admin0","Coverage","in 100 households",2022,31.4811092685146
