time,longitude,latitude,pr
1980-01-01 11:30:00,31.25,-26.25,0.24477431
1980-01-02 11:30:00,31.25,-26.25,0.28459868
1980-01-03 11:30:00,31.25,-26.25,1.1238248
1980-01-04 11:30:00,31.25,-26.25,6.9032183
1980-01-05 11:30:00,31.25,-26.25,42.94915
1980-01-06 11:30:00,31.25,-26.25,9.724922
1980-01-07 11:30:00,31.25,-26.25,10.886629
1980-01-08 11:30:00,31.25,-26.25,3.9970088
1980-01-09 11:30:00,31.25,-26.25,0.34870625
1980-01-10 11:30:00,31.25,-26.25,0.99755245
1980-01-11 11:30:00,31.25,-26.25,0.6537028
1980-01-12 11:30:00,31.25,-26.25,4.9498806
1980-01-13 11:30:00,31.25,-26.25,9.057621
1980-01-14 11:30:00,31.25,-26.25,6.7682033
1980-01-15 11:30:00,31.25,-26.25,0.027197145
1980-01-16 11:30:00,31.25,-26.25,2.9023237
1980-01-17 11:30:00,31.25,-26.25,1.6784524
1980-01-18 11:30:00,31.25,-26.25,0.6294196
1980-01-19 11:30:00,31.25,-26.25,0.006799286
1980-01-20 11:30:00,31.25,-26.25,0.053422965
1980-01-21 11:30:00,31.25,-26.25,0.13307175
1980-01-22 11:30:00,31.25,-26.25,23.975254
1980-01-23 11:30:00,31.25,-26.25,6.493318
1980-01-24 11:30:00,31.25,-26.25,4.683737
1980-01-25 11:30:00,31.25,-26.25,0.60513645
1980-01-26 11:30:00,31.25,-26.25,0.20300725
1980-01-27 11:30:00,31.25,-26.25,0.0
1980-01-28 11:30:00,31.25,-26.25,4.9916472
1980-01-29 11:30:00,31.25,-26.25,53.478333
1980-01-30 11:30:00,31.25,-26.25,7.8949423
1980-01-31 11:30:00,31.25,-26.25,7.892029
1980-02-01 11:30:00,31.25,-26.25,3.072909
1980-02-02 11:30:00,31.25,-26.25,1.1342068
1980-02-03 11:30:00,31.25,-26.25,5.305526
1980-02-04 11:30:00,31.25,-26.25,15.297662
1980-02-05 11:30:00,31.25,-26.25,5.3893666
1980-02-06 11:30:00,31.25,-26.25,0.051811773
1980-02-07 11:30:00,31.25,-26.25,14.526137
1980-02-08 11:30:00,31.25,-26.25,6.8429227
1980-02-09 11:30:00,31.25,-26.25,37.395855
1980-02-10 11:30:00,31.25,-26.25,1.0277573
1980-02-11 11:30:00,31.25,-26.25,14.886935
1980-02-12 11:30:00,31.25,-26.25,5.5316133
