SortOrder;LocID;Notes;ISO3_code;ISO2_code;SDMX_code;LocTypeID;LocTypeName;ParentID;Location;VarID;Variant;Time;TPopulation1Jan;TPopulation1July;TPopulationMale1July;TPopulationFemale1July;PopDensity;PopSexRatio;MedianAgePop;NatChange;NatChangeRT;PopChange;PopGrowthRate;DoublingTime;Births;Births1519;CBR;TFR;NRR;MAC;SRB;Deaths;DeathsMale;DeathsFemale;CDR;LEx;LExMale;LExFemale;LE15;LE15Male;LE15Female;LE65;LE65Male;LE65Female;LE80;LE80Male;LE80Female;InfantDeaths;IMR;LBsurvivingAge1;Under5Deaths;Q5;Q0040;Q0040Male;Q0040Female;Q0060;Q0060Male;Q0060Female;Q1550;Q1550Male;Q1550Female;Q1560;Q1560Male;Q1560Female;NetMigrations;CNMR
74;508;;MOZ;MZ;508;4;Country/Area;910;Mozambique;2;Medium;1950;5878.439;5910.225;2891.818;3018.407;7.5157;95.8061;19.173;119.545;20.227;63.572;1.076;64.4189;278.306;30.028;47.089;5.9967;1.6575;29.531;102;158.761;80.742;78.019;26.862;37.3296;35.8646;38.7101;44.3524;43.148;45.3687;11.1434;10.8236;11.3572;5.0194;4.7895;5.1711;51.746;185.7334;242.079;90.792;330.009;511.7851;528.48;495.5965;652.2812;678.002;628.7547;303.7001;324.5628;285.2727;433.3549;464.4274;407.0379;-55.97;-9.47
74;508;;MOZ;MZ;508;4;Country/Area;910;Mozambique;2;Medium;1951;5942.011;5978.156;2923.706;3054.449;7.6021;95.7196;19.1984;124.333;20.797;72.289;1.209;57.3323;282.142;30.116;47.195;6.03;1.6843;29.527;102;157.809;80.133;77.676;26.398;37.7352;36.2554;39.1283;44.4851;43.264;45.5219;11.1672;10.837;11.3867;5.0229;4.7922;5.1739;51.746;183.9462;245.769;89.836;325.1206;505.9122;522.6846;489.7056;647.4524;673.5387;623.469;301.1965;322.2093;282.5539;430.7702;462.1496;403.9019;-52.046;-8.706
74;508;;MOZ;MZ;508;4;Country/Area;910;Mozambique;2;Medium;1952;6014.3;6050.759;2958.058;3092.7;7.6944;95.6465;19.1884;128.385;21.218;72.918;1.205;57.5226;285.926;30.465;47.255;6.0643;1.7106;29.52;102;157.541;79.932;77.609;26.037;38.1;36.6092;39.5041;44.5504;43.3107;45.6105;11.1786;10.8403;11.4025;5.0263;4.7948;5.1767;51.936;182.1683;249.421;89.304;320.2149;500.556;517.4063;484.3034;643.6084;670.0442;619.1625;299.9561;321.2644;280.9759;429.798;461.5541;402.3065;-55.477;-9.169
74;508;;MOZ;MZ;508;4;Country/Area;910;Mozambique;2;Medium;1953;6087.218;6123.118;2992.192;3130.925;7.7865;95.5689;19.1518;132.148;21.581;71.799;1.173;59.0918;289.307;31.058;47.248;6.0862;1.7341;29.513;102;157.159;79.722;77.438;25.667;38.5055;37.0051;39.9201;44.6816;43.426;45.7621;11.2013;10.8534;11.4312;5.0297;4.7975;5.1796;52.059;180.3798;252.733;88.859;315.3691;494.6727;511.5228;478.4376;638.7624;665.5159;613.8818;297.4559;318.9224;278.2778;427.2375;459.2957;399.2047;-60.331;-9.853
74;508;;MOZ;MZ;508;4;Country/Area;910;Mozambique;2;Medium;1954;6159.017;6196.978;3027.008;3169.969;7.8804;95.4902;19.0831;136.227;21.983;75.921;1.225;56.5834;293.321;32.055;47.333;6.1159;1.7594;29.505;102;157.094;79.699;77.395;25.35;38.8661;37.3554;40.2934;44.7455;43.4723;45.8491;11.2121;10.8573;11.4463;5.0331;4.8002;5.1824;52.224;178.5828;256.609;88.522;310.5503;489.3637;506.2925;473.0603;634.9516;662.0481;609.5927;296.2275;317.9991;276.7195;426.286;458.7073;397.6433;-60.319;-9.734
74;508;;MOZ;MZ;508;4;Country/Area;910;Mozambique;2;Medium;1955;6234.938;6274.472;3063.628;3210.844;7.9789;95.4151;18.9994;140.332;22.365;79.067;1.26;55.0117;297.281;33.306;47.379;6.1412;1.784;29.497;102;156.949;79.653;77.296;25.014;39.2669;37.7471;40.7054;44.8716;43.5798;45.9987;11.2332;10.8689;11.4741;5.0364;4.8029;5.1853;52.402;176.7869;260.448;88.303;305.768;483.5337;500.4542;467.244;630.1636;657.6049;604.3378;293.8034;315.7984;274.0487;423.8289;456.6265;394.5824;-61.265;-9.764
74;508;;MOZ;MZ;508;4;Country/Area;910;Mozambique;2;Medium;1956;6314.005;6355.035;3101.738;3253.296;8.0814;95.3414;18.9532;144.198;22.691;82.06;1.291;53.6907;301.461;34.478;47.437;6.1659;1.8068;29.489;102;157.263;79.845;77.418;24.746;39.5942;38.0675;41.0432;44.9177;43.6123;46.0652;11.2398;10.8704;11.4848;5.0387;4.8051;5.1866;52.611;175.0585;264.475;88.201;301.2447;478.6849;495.6443;462.3501;626.8085;654.5304;600.5662;292.8866;315.1344;272.8557;423.2517;456.3418;393.4777;-62.126;-9.776
74;508;;MOZ;MZ;508;4;Country/Area;910;Mozambique;2;Medium;1957;6396.065;6438.178;3141.09;3297.088;8.1871;95.2686;18.9364;148.293;23.034;84.226;1.308;52.9929;305.167;35.504;47.4;6.1749;1.8277;29.48;102;156.874;79.632;77.242;24.366;40.0576;38.5469;41.4925;45.1316;43.8384;46.2733;11.2735;10.8971;11.5242;5.0431;4.8083;5.1909;52.742;173.277;268.107;87.976;296.5286;472.0125;488.5334;456.1018;620.5291;648.0795;594.3613;288.727;310.4656;269.1365;418.6392;451.356;389.014;-64.072;-9.952
74;508;;MOZ;MZ;508;4;Country/Area;910;Mozambique;2;Medium;1958;6480.291;6521.554;3180.471;3341.084;8.2931;95.1928;18.9276;152.662;23.409;82.527;1.265;54.7942;309.494;36.734;47.457;6.1893;1.8474;29.471;102;156.832;79.531;77.301;24.048;40.4661;39.0024;41.8571;45.3036;44.0677;46.3971;11.2969;10.9238;11.5466;5.0466;4.8109;5.1938;52.951;171.624;272.267;87.883;292.1925;466.0759;481.787;450.9322;615.12;641.7657;589.7559;285.3114;305.7205;266.9185;414.9609;446.2365;386.5204;-70.139;-10.755
74;508;;MOZ;MZ;508;4;Country/Area;910;Mozambique;2;Medium;1959;6562.818;6610.402;3222.648;3387.754;8.4061;95.1264;18.9157;159.639;24.149;95.168;1.44;48.1352;316.767;38.345;47.919;6.2525;1.882;29.463;102;157.128;79.679;77.449;23.77;40.8746;39.4385;42.2414;45.5282;44.3413;46.5802;11.3262;10.9484;11.581;5.0501;4.8136;5.1966;53.563;170.0829;279.008;88.284;288.4237;460.1217;475.146;445.6107;609.2113;635.2245;584.3729;280.8213;299.8747;263.6563;410.0246;440.0866;382.5802;-64.469;-9.753
