"Country","Year","Donor_GlobalFund","Donor_PMI_USAID","Donor_WorldBank","Donor_UK","Donor_Others","Country_Govt_NMP","Unnamed","Country_GlobalFund","Country_PMI_USAID","Country_WorldBank","Country_OtherBilaterals","Country_WHO","Country_UNICEF","Country_OtherContributions"
"Angola",2020,6603260,21175831,0,0,54515,2671884,0,0,22000000,0,0,0,0,0
"Angola",2021,2328851,20331002,0,0,0,16518614,0,0,19000000,0,0,0,0,0
"Angola",2022,-288671,19000000,0,0,0,4707227,6,0,19000000,0,0,250000,0,69779797
"Botswana",2020,148693,0,0,0,14841,2438179,0,0,0,0,0,0,0,0
"Botswana",2021,347610,0,0,0,0,1821010,0,0,0,0,0,0,0,0
"Botswana",2022,4288,0,0,0,0,3144250,0,0,0,0,0,0,0,405890
"Eswatini",2020,630562,0,0,0,40429,980998,0,736128,0,0,0,10613,0,0
"Eswatini",2021,1260814,0,0,0,0,900801,0,1434576,0,0,0,0,0,0
"Eswatini",2022,1228475,0,0,0,0,751182,0,1234594,0,0,0,0,0,0
"Malawi",2020,44592153,26748418,0,0,46319,313418,0,162082558,24000000,0,0,0,300000,0
"Malawi",2021,65321494,25681266,0,0,0,139157,0,16143765,24000000,0,0,0,300000,0
"Malawi",2022,43457528,24000000,0,0,0,326923,0,8608483,23000000,0,0,0,300000,0
"Mozambique",2020,98870848,32321005,0,0,3486,15358383,0,84260635,29000000,0,1102477,67741,2051725,0
"Mozambique",2021,26216859,31031530,0,0,10321,1573969,0,15473237,29000000,0,1138630,0,0,2525488
"Mozambique",2022,87344763,29000000,0,0,10321,1470927,0,141882820,2795300,0,1363895,70000,0,1265934
"Namibia",2020,1499062,0,0,0,101154,11503840,0,1055154,0,0,0,100000,0,150000
"Namibia",2021,-3350,0,0,0,0,12149373,0,1160669,0,0,0,0,0,0
"Namibia",2022,0,0,0,0,0,12489393,0,1276736,0,0,0,0,0,0
"South Africa",2020,0,0,0,173242,27525,22079426,0,624227,0,0,0,0,0,0
"South Africa",2021,0,0,0,215968,0,23160798,5,5504950,0,0,0,0,0,0
"South Africa",2022,0,0,0,38354,0,19491826,0,5201402,0,0,0,0,0,0
"Zambia",2020,45656081,33435522,590122,0,422313,17097249,0,47613297,30000000,0,0,300000,0,2302615
"Zambia",2021,38647166,32101583,0,0,0,15670315,0,29446626,30000000,0,0,250000,0,2888256
"Zambia",2022,18531899,30000000,0,0,0,33336650,0,17804222,28000000,0,0,250000,0,1393654
"Zimbabwe",2020,35750797,16717761,0,0,33141,1986237,0,12796329,12000000,0,0,0,0,0
"Zimbabwe",2021,49085307,16050791,0,0,0,1873149,0,42425446,11208490,0,0,0,0,0
"Zimbabwe",2022,36225930,15000000,0,0,0,1750520,0,21732515,11208490,0,0,32500,0,0
