OBJECTID,FEATURE_TY,PROVINCE,Area_km,PROV_CODE,DIST_CODE,DISTRICT,Shape__Area,Shape__Length
1,District Town,Eastern,1612.44078272,103,103001,Chadiza,1711135773.71338,202032.589882264
2,District Town,Eastern,17446.7394598,103,106001,Chama,18077736098.313,955984.181919425
3,District Town,Eastern,2959.34872578,103,103010,Chasefu,3078486905.84863,333875.413658825
4,District Town,North-Western,4859.52918897,108,108001,Chavuma,5131601691.21948,417923.172426997
5,District Town,Luapula,2160.20637551,104,104001,Chembe,2267592731.80493,278429.219765951
6,District Town,Central,8210.22858036,101,101001,Chibombo,8842455943.29541,587720.314097949
7,District Town,Luapula,3792.88925075,104,104002,Chiengi,4076354818.5127,304754.229963571
8,District Town,Luapula,3062.55087601,104,104012,Chifunabuli,3195155163.03711,277053.177829996
9,District Town,Southern,2789.50961653,109,109001,Chikankanta,2928223742.06934,316498.273386795
10,District Town,Lusaka,1357.66789159,105,105001,Chilanga,1468566290.82764,262226.47158083
11,District Town,Copperbelt,1017.98403893,102,102001,Chililabombwe,1074048823.74854,257709.762627967
12,District Town,Northern,5174.6320673,107,107001,Chilubi,5393979371.13989,420304.923390837
13,District Town,Copperbelt,1730.28255976,102,102002,Chingola,1827713146.82251,377301.254798225
14,Provincial Town,Muchinga,6287.40573582,106,106002,Chinsali,6490400451.71167,586464.681984758
15,Provincial Town,Eastern,2703.92990659,103,103011,Chipangali,2866063988.3252,281265.396007414
16,Provincial Town,Eastern,1800.00361259,103,103002,Chipata,1810345497.79883,241535.281650107
17,District Town,Luapula,4220.92240723,104,104003,Chipili,4433541400.62769,466570.878225775
18,District Town,Southern,1395.21890288,109,105002,Chirundu,1520024348.91455,226124.592190288
19,District Town,Central,5214.07471969,101,101002,Chisamba,5613847509.104,426827.051332472
20,District Town,Central,11991.1176826,101,101003,Chitambo,12657639562.4683,1020342.45038621
21,Provincial Town,Southern,5153.65671015,109,109002,Choma,5657493528.59131,517808.187014823
22,District Town,Lusaka,2438.79949471,105,105003,Chongwe,2638552093.70068,280271.592881267
23,District Town,Southern,3999.94087755,109,109003,Gwembe,4386031819.0625,324239.567638682
24,District Town,North-Western,2204.51015843,108,108002,Ikelenge,2302810800.56836,386453.126738056
25,District Town,Muchinga,5177.01231703,106,106003,Isoka,4920486230.38867,534764.91891851
26,District Town,Southern,15758.863354,109,101004,Itezhi-Tezhi,17120978924.6597,852866.967142803
27,Provincial Town,North-Western,7134.99571264,108,108003,Kabompo,7591001427.6145,544872.073865993
28,Provincial Town,Central,1571.78214373,101,101005,Kabwe,1686672094.20898,244584.439191311
29,District Town,Lusaka,4485.48971595,105,105004,Kafue,4868691438.52393,517513.170196364
30,District Town,Western,9125.00370077,110,110001,Kalabo,9772155140.58569,812523.838340581
31,District Town,Southern,8378.52119582,109,109004,Kalomo,9205345008.0293,611555.320366603
